                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1257581 |    1260772 |    1378634 |    1193980
  Cycles                             |    1015423 |    1015423 |    1015423 |    1015423
  IPC                                |       1.24 |       1.24 |       1.36 |       1.18
  Time (ns)                          |     381738 |     381738 |     381738 |     381738
  Idle time (ns)                     |     115932 |     116516 |      99785 |     129014
  Idle time (%)                      |      30.4% |      30.5% |      26.1% |      33.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     227504 |     228161 |     251754 |     214848
  num incorrect                      |        418 |        407 |        384 |        360
  misprediction rate                 |      0.18% |      0.18% |      0.15% |      0.17%
  mpki                               |       0.33 |       0.32 |       0.28 |       0.30
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     461834 |     463125 |     510267 |     436409
    num cache misses                 |         16 |         16 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     768776 |     770698 |     841420 |     730629
    num cache misses                 |     200892 |     202460 |     222970 |     185856
    miss rate                        |     26.13% |     26.27% |     26.50% |     25.44%
    mpki                             |     159.74 |     160.58 |     161.73 |     155.66
  Cache L2                           |            |            |            |           
    num cache accesses               |     201202 |     202716 |     223244 |     186152
    num cache misses                 |         23 |          4 |          6 |          7
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         25 |          7 |          9 |         10
    num cache misses                 |         23 |          4 |          6 |          7
    miss rate                        |     92.00% |     57.14% |     66.67% |     70.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     113.64 |        inf |        inf |        inf
  average dram queueing delay        |      60.21 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
