                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5622645 |    5117682 |    4229816 |    4637427 |    5358398 |    5313047 |    5276522 |    5166100 |    4735124 |    3963688 |    5311804 |    5538253 |    5577778 |    5324914 |    5215692 |    5404572
  Cycles                             |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911 |    4907911
  IPC                                |       1.15 |       1.04 |       0.86 |       0.94 |       1.09 |       1.08 |       1.08 |       1.05 |       0.96 |       0.81 |       1.08 |       1.13 |       1.14 |       1.08 |       1.06 |       1.10
  Time (ns)                          |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080 |    1845080
  Idle time (ns)                     |       4636 |     185835 |     475775 |     339390 |      78526 |     110319 |     117288 |     158893 |     319233 |     560875 |     129919 |      26746 |      19533 |     104828 |     173273 |      76821
  Idle time (%)                      |       0.3% |      10.1% |      25.8% |      18.4% |       4.3% |       6.0% |       6.4% |       8.6% |      17.3% |      30.4% |       7.0% |       1.4% |       1.1% |       5.7% |       9.4% |       4.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1372187 |    1245942 |    1023901 |    1125785 |    1306026 |    1294687 |    1285652 |    1258041 |    1150261 |     957450 |    1294364 |    1350967 |    1360881 |    1297669 |    1270421 |    1317534
  num incorrect                      |        713 |        728 |        804 |        817 |        828 |        815 |        727 |        728 |        755 |        721 |        829 |        844 |        815 |        801 |        759 |        855
  misprediction rate                 |      0.05% |      0.06% |      0.08% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.08% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.13 |       0.14 |       0.19 |       0.18 |       0.15 |       0.15 |       0.14 |       0.14 |       0.16 |       0.18 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
