                                     | Core 0     | Core 1    
  Instructions                       |     113960 |     124605
  Cycles                             |     337150 |     337150
  IPC                                |       0.34 |       0.37
  Time (ns)                          |     126748 |     126748
  Idle time (ns)                     |     101419 |      99205
  Idle time (%)                      |      80.0% |      78.3%
Branch predictor stats               |            |           
  num correct                        |      15784 |      18447
  num incorrect                      |        207 |        213
  misprediction rate                 |      1.29% |      1.14%
  mpki                               |       1.82 |       1.71
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      34962 |      40303
    num cache misses                 |         15 |         15
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.13 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |      67011 |      72341
    num cache misses                 |       1740 |       1897
    miss rate                        |      2.60% |      2.62%
    mpki                             |      15.27 |      15.22
  Cache L2                           |            |           
    num cache accesses               |       2469 |       2472
    num cache misses                 |         18 |         14
    miss rate                        |      0.73% |      0.57%
    mpki                             |       0.16 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         19 |         18
    num cache misses                 |         18 |         14
    miss rate                        |     94.74% |     77.78%
    mpki                             |       0.16 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     102.03 |        inf
  average dram queueing delay        |      48.60 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          7
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
